CSP_ID	SCORED_TICKETS	WITHIN_TAT	BREACHED	KAPTURE_FIRST_ANY	SYNC_LOSS	UNFAIR_BREACH
a0b9a5	15	9	6	1	0	0
a0b6n5	15	3	3	12	1	0
a0b6p9	14	12	2	0	0	0
a0b9g6	14	14	0	0	0	0
a0b5w4	14	13	1	0	0	0
a0b6h7	14	11	3	0	0	0
a0b9a1	14	2	6	11	0	0
a0b8z4	14	14	0	0	0	0
a0b9r5	14	0	2	12	0	0
a0c0h7	14	0	0	14	0	0
a0b3k4	14	12	2	0	0	0
a0b9u2	14	8	6	1	0	0
a0b6j4	14	11	3	0	0	0
a0c0i7	14	6	7	5	0	0
a0b7e0	13	10	3	0	0	0
a0b5y3	13	12	1	1	0	0
a0b9r4	13	13	0	0	0	0
a0b9g1	13	11	2	0	0	0
a0b6g5	13	6	6	2	0	0
a0b7b3	13	6	6	3	0	0
a0b5m7	13	6	7	0	0	0
a0b8s8	13	7	6	0	0	0
a0a8c2	13	12	1	0	0	0
a0b7g9	13	13	0	0	0	0
a0b9v6	13	9	4	1	0	0
a0b8x7	13	11	2	1	0	0
a0b9w8	13	13	0	0	0	0
a0b6e4	13	8	5	1	0	0
a0b6g4	13	11	2	0	0	0
a0b2w1	12	11	1	1	0	0
a0c0a4	12	11	1	0	0	0
a0a7e5	12	10	2	2	0	0
a0b7h4	12	7	5	1	0	0
a0a7f8	12	12	0	0	0	0
a0b9i9	12	7	5	3	0	0
a0b9d5	12	9	3	1	0	0
a0b6a6	12	9	3	1	0	0
a0b7e6	12	12	0	0	0	0
a0b6t5	12	3	9	2	0	0
a0b6m0	12	2	9	8	0	0
a0b9e9	12	12	0	0	0	0
a0b6i9	12	7	5	2	0	0
a0b7e5	12	12	0	0	0	0
a0b5n3	12	11	1	0	0	0
a0b9b1	12	6	6	1	0	0
a0b6e3	12	10	2	0	0	0
a0b6b9	12	2	10	7	0	0
